Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2021-04-15T16:59:42.000,3.38,28.5,7.89,44.68728,-124.156658
2021-04-15T17:14:42.000,3.36,28.31,7.89,44.68728,-124.156658
2021-04-15T17:29:42.000,3.36,28.25,7.89,44.68728,-124.156658
2021-04-15T17:44:42.000,3.36,28.26,7.88,44.68728,-124.156658
2021-04-15T17:59:42.000,3.34,28.11,7.88,44.68728,-124.156658
2021-04-15T18:14:42.000,3.33,28.08,7.88,44.68728,-124.156658
2021-04-15T18:29:42.000,3.32,27.94,7.89,44.68728,-124.156658
2021-04-15T18:44:42.000,3.3,27.79,7.89,44.68728,-124.156658
2021-04-15T18:59:42.000,3.29,27.72,7.89,44.68728,-124.156658
2021-04-15T19:14:42.000,3.24,27.28,7.89,44.68728,-124.156658
2021-04-15T19:29:42.000,3.3,27.77,7.89,44.68728,-124.156658
2021-04-15T19:44:42.000,3.26,27.46,7.89,44.68728,-124.156658
2021-04-15T19:59:42.000,3.27,27.55,7.88,44.68728,-124.156658
2021-04-15T20:14:42.000,3.2,26.93,7.87,44.68728,-124.156658
2021-04-15T20:29:42.000,3.25,27.38,7.87,44.68728,-124.156658
2021-04-15T20:44:42.000,3.25,27.32,7.87,44.68728,-124.156658
2021-04-15T20:59:42.000,3.23,27.18,7.87,44.68728,-124.156658
2021-04-15T21:14:42.000,3.23,27.19,7.86,44.68728,-124.156658
2021-04-15T21:29:42.000,3.2,26.95,7.85,44.68728,-124.156658
2021-04-15T21:44:42.000,3.17,26.71,7.85,44.68728,-124.156658
2021-04-15T21:59:42.000,3.23,27.17,7.85,44.68728,-124.156658
2021-04-15T22:14:42.000,3.18,26.76,7.85,44.68728,-124.156658
2021-04-15T22:29:42.000,3.22,27.11,7.85,44.68728,-124.156658
2021-04-15T22:44:42.000,3.24,27.23,7.85,44.68728,-124.156658
2021-04-15T22:59:42.000,3.24,27.25,7.85,44.68728,-124.156658
2021-04-15T23:14:42.000,3.29,27.66,7.86,44.68728,-124.156658
2021-04-15T23:29:42.000,3.3,27.78,7.86,44.68728,-124.156658
2021-04-15T23:44:42.000,3.32,27.91,7.87,44.68728,-124.156658
2021-04-15T23:59:42.000,3.33,28.02,7.87,44.68728,-124.156658
2021-04-16T00:14:42.000,3.32,27.97,7.87,44.68728,-124.156658
2021-04-16T00:29:42.000,3.33,28,7.87,44.68728,-124.156658
2021-04-16T00:44:42.000,3.33,28.01,7.88,44.68728,-124.156658
2021-04-16T00:59:42.000,3.32,27.93,7.87,44.68728,-124.156658
2021-04-16T01:14:42.000,3.32,27.95,7.88,44.68728,-124.156658
2021-04-16T01:29:42.000,3.3,27.78,7.88,44.68728,-124.156658
2021-04-16T01:44:42.000,3.28,27.58,7.88,44.68728,-124.156658
2021-04-16T01:59:42.000,3.31,27.88,7.88,44.68728,-124.156658
2021-04-16T02:14:42.000,3.28,27.62,7.88,44.68728,-124.156658
2021-04-16T02:29:42.000,3.27,27.5,7.88,44.68728,-124.156658
2021-04-16T02:44:42.000,3.29,27.68,7.89,44.68728,-124.156658
2021-04-16T02:59:42.000,3.27,27.51,7.89,44.68728,-124.156658
2021-04-16T03:14:42.000,3.28,27.64,7.89,44.68728,-124.156658
2021-04-16T03:29:42.000,3.28,27.6,7.89,44.68728,-124.156658
2021-04-16T03:44:42.000,3.25,27.4,7.89,44.68728,-124.156658
2021-04-16T03:59:42.000,3.32,27.95,7.89,44.68728,-124.156658
2021-04-16T04:14:42.000,3.28,27.59,7.89,44.68728,-124.156658
2021-04-16T04:29:42.000,3.27,27.58,7.89,44.68728,-124.156658
2021-04-16T04:44:42.000,3.23,27.19,7.89,44.68728,-124.156658
2021-04-16T04:59:42.000,3.29,27.66,7.88,44.68728,-124.156658
2021-04-16T05:14:42.000,3.26,27.45,7.87,44.68728,-124.156658
2021-04-16T05:29:42.000,3.23,27.14,7.85,44.68728,-124.156658
2021-04-16T05:44:42.000,3.21,27,7.84,44.68728,-124.156658
2021-04-16T05:59:42.000,3.21,27.01,7.83,44.68728,-124.156658
2021-04-16T06:14:42.000,3.19,26.84,7.83,44.68728,-124.156658
2021-04-16T06:29:42.000,3.18,26.77,7.83,44.68728,-124.156658
2021-04-16T06:44:42.000,3.19,26.82,7.83,44.68728,-124.156658
2021-04-16T06:59:42.000,3.18,26.73,7.83,44.68728,-124.156658
2021-04-16T07:14:42.000,3.21,27,7.83,44.68728,-124.156658
2021-04-16T07:29:42.000,3.21,26.98,7.83,44.68728,-124.156658
2021-04-16T07:44:42.000,3.18,26.75,7.83,44.68728,-124.156658
2021-04-16T07:59:42.000,3.2,26.89,7.83,44.68728,-124.156658
2021-04-16T08:14:42.000,3.2,26.93,7.83,44.68728,-124.156658
2021-04-16T08:29:42.000,3.2,26.89,7.83,44.68728,-124.156658
2021-04-16T08:44:42.000,3.2,26.94,7.83,44.68728,-124.156658
2021-04-16T08:59:42.000,3.2,26.88,7.82,44.68728,-124.156658
2021-04-16T09:14:42.000,3.2,26.87,7.82,44.68728,-124.156658
2021-04-16T09:29:42.000,3.19,26.77,7.81,44.68728,-124.156658
2021-04-16T09:44:42.000,3.2,26.87,7.81,44.68728,-124.156658
2021-04-16T09:59:42.000,3.17,26.63,7.8,44.68728,-124.156658
2021-04-16T10:14:42.000,3.16,26.59,7.8,44.68728,-124.156658
2021-04-16T10:29:42.000,3.17,26.63,7.8,44.68728,-124.156658
2021-04-16T10:44:42.000,3.17,26.62,7.8,44.68728,-124.156658
2021-04-16T10:59:42.000,3.16,26.59,7.8,44.68728,-124.156658
2021-04-16T11:14:42.000,3.21,26.95,7.8,44.68728,-124.156658
2021-04-16T11:29:42.000,3.19,26.81,7.8,44.68728,-124.156658
2021-04-16T11:44:42.000,3.21,26.98,7.8,44.68728,-124.156658
2021-04-16T11:59:42.000,3.21,26.97,7.8,44.68728,-124.156658
2021-04-16T12:14:42.000,3.28,27.53,7.8,44.68728,-124.156658
2021-04-16T12:29:42.000,3.27,27.49,7.8,44.68728,-124.156658
2021-04-16T12:44:42.000,3.27,27.47,7.8,44.68728,-124.156658
