Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2021-07-28T15:45:42.000,3.79,31.89,7.84,44.68728,-124.156658
2021-07-28T16:00:42.000,3.93,33.02,7.84,44.68728,-124.156658
2021-07-28T16:15:42.000,3.96,33.27,7.84,44.68728,-124.156658
2021-07-28T16:30:42.000,3.91,32.87,7.83,44.68728,-124.156658
2021-07-28T16:45:42.000,3.87,32.55,7.82,44.68728,-124.156658
2021-07-28T17:00:42.000,3.86,32.43,7.82,44.68728,-124.156658
2021-07-28T17:15:42.000,3.87,32.52,7.82,44.68728,-124.156658
2021-07-28T17:30:42.000,3.87,32.58,7.82,44.68728,-124.156658
2021-07-28T17:45:42.000,3.89,32.74,7.83,44.68728,-124.156658
2021-07-28T18:00:42.000,3.92,32.96,7.83,44.68728,-124.156658
2021-07-28T18:15:42.000,3.96,33.34,7.84,44.68728,-124.156658
2021-07-28T18:30:42.000,4,33.65,7.85,44.68728,-124.156658
2021-07-28T18:45:42.000,4.08,34.3,7.85,44.68728,-124.156658
2021-07-28T19:00:42.000,4.14,34.88,7.87,44.68728,-124.156658
2021-07-28T19:15:42.000,4.19,35.32,7.89,44.68728,-124.156658
2021-07-28T19:30:42.000,4.3,36.24,7.9,44.68728,-124.156658
2021-07-28T19:45:42.000,4.3,36.23,7.92,44.68728,-124.156658
2021-07-28T20:00:42.000,4.29,36.18,7.94,44.68728,-124.156658
2021-07-28T20:15:42.000,4.4,37.17,7.98,44.68728,-124.156658
2021-07-28T20:30:42.000,4.43,37.42,8.02,44.68728,-124.156658
2021-07-28T20:45:42.000,4.58,38.78,8.08,44.68728,-124.156658
2021-07-28T21:00:42.000,5.04,42.78,8.2,44.68728,-124.156658
2021-07-28T21:15:42.000,5.32,45.23,8.28,44.68728,-124.156658
2021-07-28T21:30:42.000,5.47,46.58,8.31,44.68728,-124.156658
2021-07-28T21:45:42.000,5.62,47.87,8.33,44.68728,-124.156658
2021-07-28T22:00:42.000,5.67,48.25,8.35,44.68728,-124.156658
2021-07-28T22:15:42.000,5.77,49.2,8.38,44.68728,-124.156658
2021-07-28T22:30:42.000,5.79,49.32,8.39,44.68728,-124.156658
2021-07-28T22:45:42.000,5.91,50.46,8.42,44.68728,-124.156658
2021-07-28T23:00:42.000,6.11,52.2,8.45,44.68728,-124.156658
2021-07-28T23:15:42.000,6.24,53.31,8.47,44.68728,-124.156658
2021-07-28T23:30:42.000,6.34,54.15,8.48,44.68728,-124.156658
2021-07-28T23:45:42.000,6.41,54.79,8.5,44.68728,-124.156658
2021-07-29T00:00:42.000,6.52,55.74,8.52,44.68728,-124.156658
2021-07-29T00:15:42.000,6.67,57.05,8.54,44.68728,-124.156658
2021-07-29T00:30:42.000,6.72,57.46,8.54,44.68728,-124.156658
2021-07-29T00:45:42.000,6.72,57.54,8.55,44.68728,-124.156658
2021-07-29T01:00:42.000,6.72,57.54,8.56,44.68728,-124.156658
2021-07-29T01:15:42.000,6.74,57.71,8.56,44.68728,-124.156658
2021-07-29T01:30:42.000,6.71,57.42,8.54,44.68728,-124.156658
2021-07-29T01:45:42.000,6.66,57,8.54,44.68728,-124.156658
2021-07-29T02:00:42.000,6.64,56.79,8.53,44.68728,-124.156658
2021-07-29T02:15:42.000,6.63,56.73,8.52,44.68728,-124.156658
2021-07-29T02:30:42.000,6.59,56.33,8.52,44.68728,-124.156658
2021-07-29T02:45:42.000,6.56,56.1,8.52,44.68728,-124.156658
2021-07-29T03:00:42.000,6.59,56.35,8.52,44.68728,-124.156658
2021-07-29T03:15:42.000,6.56,56.11,8.52,44.68728,-124.156658
2021-07-29T03:30:42.000,6.51,55.71,8.52,44.68728,-124.156658
2021-07-29T03:45:42.000,6.54,55.92,8.52,44.68728,-124.156658
2021-07-29T04:00:42.000,6.48,55.46,8.53,44.68728,-124.156658
2021-07-29T04:15:42.000,6.42,54.9,8.53,44.68728,-124.156658
2021-07-29T04:30:42.000,6.31,53.94,8.52,44.68728,-124.156658
2021-07-29T04:45:42.000,6.27,53.6,8.52,44.68728,-124.156658
2021-07-29T05:00:42.000,6.19,52.97,8.52,44.68728,-124.156658
2021-07-29T05:15:42.000,6.08,51.97,8.52,44.68728,-124.156658
2021-07-29T05:30:42.000,6.06,51.79,8.52,44.68728,-124.156658
2021-07-29T05:45:42.000,6.01,51.39,8.52,44.68728,-124.156658
2021-07-29T06:00:42.000,5.96,50.99,8.52,44.68728,-124.156658
2021-07-29T06:15:42.000,5.97,51.06,8.52,44.68728,-124.156658
2021-07-29T06:30:42.000,5.83,49.83,8.52,44.68728,-124.156658
2021-07-29T06:45:42.000,5.75,49.13,8.51,44.68728,-124.156658
2021-07-29T07:00:42.000,5.72,48.89,8.5,44.68728,-124.156658
2021-07-29T07:15:42.000,5.71,48.8,8.5,44.68728,-124.156658
2021-07-29T07:30:42.000,5.71,48.8,8.51,44.68728,-124.156658
2021-07-29T07:45:42.000,5.72,48.9,8.51,44.68728,-124.156658
2021-07-29T08:00:42.000,5.81,49.72,8.54,44.68728,-124.156658
2021-07-29T08:15:42.000,6.18,52.96,8.59,44.68728,-124.156658
2021-07-29T08:30:42.000,6.15,52.67,8.59,44.68728,-124.156658
2021-07-29T08:45:42.000,6.84,58.76,8.69,44.68728,-124.156658
2021-07-29T09:00:42.000,6.97,59.93,8.73,44.68728,-124.156658
2021-07-29T09:15:42.000,6.58,56.44,8.66,44.68728,-124.156658
2021-07-29T09:30:42.000,6.41,54.95,8.65,44.68728,-124.156658
2021-07-29T09:45:42.000,6.58,56.48,8.66,44.68728,-124.156658
2021-07-29T10:00:42.000,6.49,55.69,8.65,44.68728,-124.156658
2021-07-29T10:15:42.000,6.37,54.59,8.62,44.68728,-124.156658
2021-07-29T10:30:42.000,6.46,55.42,8.63,44.68728,-124.156658
2021-07-29T10:45:42.000,6.54,56.07,8.64,44.68728,-124.156658
2021-07-29T11:00:42.000,6,51.34,8.55,44.68728,-124.156658
2021-07-29T11:15:42.000,6.23,53.37,8.58,44.68728,-124.156658
2021-07-29T11:30:42.000,6.29,53.88,8.59,44.68728,-124.156658
2021-07-29T11:45:42.000,6.38,54.71,8.61,44.68728,-124.156658
2021-07-29T12:00:42.000,6.22,53.26,8.57,44.68728,-124.156658
2021-07-29T12:15:42.000,6.19,52.95,8.56,44.68728,-124.156658
2021-07-29T12:30:42.000,6.18,52.92,8.57,44.68728,-124.156658
2021-07-29T12:45:42.000,6.1,52.19,8.54,44.68728,-124.156658
2021-07-29T13:00:42.000,5.97,51.04,8.52,44.68728,-124.156658
2021-07-29T13:15:42.000,5.73,48.94,8.47,44.68728,-124.156658
2021-07-29T13:30:42.000,5.59,47.74,8.45,44.68728,-124.156658
2021-07-29T13:45:42.000,5.38,45.89,8.42,44.68728,-124.156658
2021-07-29T14:00:42.000,5.3,45.18,8.4,44.68728,-124.156658
2021-07-29T14:15:42.000,5.18,44.12,8.38,44.68728,-124.156658
2021-07-29T14:30:42.000,5.08,43.29,8.36,44.68728,-124.156658
2021-07-29T14:45:42.000,4.98,42.37,8.35,44.68728,-124.156658
2021-07-29T15:00:42.000,4.92,41.85,8.33,44.68728,-124.156658
2021-07-29T15:15:42.000,4.85,41.28,8.32,44.68728,-124.156658
2021-07-29T15:30:42.000,4.78,40.66,8.3,44.68728,-124.156658
2021-07-29T15:45:42.000,4.74,40.3,8.29,44.68728,-124.156658
2021-07-29T16:00:42.000,4.6,39.06,8.27,44.68728,-124.156658
2021-07-29T16:15:42.000,4.57,38.79,8.26,44.68728,-124.156658
2021-07-29T16:30:42.000,4.54,38.55,8.25,44.68728,-124.156658
2021-07-29T16:45:42.000,4.6,39.05,8.24,44.68728,-124.156658
2021-07-29T17:00:42.000,4.6,39.1,8.23,44.68728,-124.156658
2021-07-29T17:15:42.000,4.56,38.76,8.23,44.68728,-124.156658
2021-07-29T17:30:42.000,4.55,38.65,8.23,44.68728,-124.156658
2021-07-29T17:45:42.000,4.59,38.97,8.23,44.68728,-124.156658
2021-07-29T18:00:42.000,4.53,38.43,8.23,44.68728,-124.156658
2021-07-29T18:15:42.000,4.49,38.1,8.23,44.68728,-124.156658
2021-07-29T18:30:42.000,4.43,37.58,8.23,44.68728,-124.156658
2021-07-29T18:45:42.000,4.44,37.72,8.23,44.68728,-124.156658
2021-07-29T19:00:42.000,4.34,36.85,8.22,44.68728,-124.156658
2021-07-29T19:15:42.000,4.35,36.9,8.23,44.68728,-124.156658
2021-07-29T19:30:42.000,4.43,37.61,8.23,44.68728,-124.156658
2021-07-29T19:45:42.000,4.45,37.78,8.26,44.68728,-124.156658
2021-07-29T20:00:42.000,4.57,38.85,8.28,44.68728,-124.156658
2021-07-29T20:15:42.000,4.71,40.03,8.3,44.68728,-124.156658
2021-07-29T20:30:42.000,4.85,41.26,8.33,44.68728,-124.156658
2021-07-29T20:45:42.000,4.98,42.38,8.35,44.68728,-124.156658
2021-07-29T21:00:42.000,5.22,44.46,8.38,44.68728,-124.156658
2021-07-29T21:15:42.000,5.52,47.09,8.43,44.68728,-124.156658
2021-07-29T21:30:42.000,5.57,47.51,8.45,44.68728,-124.156658
2021-07-29T21:45:42.000,5.72,48.85,8.49,44.68728,-124.156658
2021-07-29T22:00:42.000,5.88,50.28,8.54,44.68728,-124.156658
2021-07-29T22:15:42.000,5.45,46.64,8.51,44.68728,-124.156658
2021-07-29T22:30:42.000,5.57,47.61,8.53,44.68728,-124.156658
2021-07-29T22:45:42.000,5.52,47.21,8.54,44.68728,-124.156658
2021-07-29T23:00:42.000,5.53,47.28,8.54,44.68728,-124.156658
2021-07-29T23:15:42.000,5.64,48.36,8.59,44.68728,-124.156658
2021-07-29T23:30:42.000,5.76,49.39,8.62,44.68728,-124.156658
2021-07-29T23:45:42.000,5.65,48.46,8.62,44.68728,-124.156658
2021-07-30T00:00:42.000,5.89,50.52,8.64,44.68728,-124.156658
2021-07-30T00:15:42.000,5.93,50.86,8.66,44.68728,-124.156658
2021-07-30T00:30:42.000,5.98,51.37,8.69,44.68728,-124.156658
2021-07-30T00:45:42.000,6.22,53.4,8.71,44.68728,-124.156658
2021-07-30T01:00:42.000,6.31,54.25,8.76,44.68728,-124.156658
2021-07-30T01:15:42.000,6.43,55.34,8.76,44.68728,-124.156658
2021-07-30T01:30:42.000,6.34,54.5,8.76,44.68728,-124.156658
2021-07-30T01:45:42.000,6.38,54.86,8.74,44.68728,-124.156658
2021-07-30T02:00:42.000,6.33,54.42,8.76,44.68728,-124.156658
2021-07-30T02:15:42.000,6.28,53.96,8.73,44.68728,-124.156658
2021-07-30T02:30:42.000,6.29,54.13,8.76,44.68728,-124.156658
2021-07-30T02:45:42.000,6.49,55.87,8.8,44.68728,-124.156658
2021-07-30T03:00:42.000,6.62,57.04,8.83,44.68728,-124.156658
2021-07-30T03:15:42.000,6.77,58.35,8.88,44.68728,-124.156658
2021-07-30T03:30:42.000,6.77,58.42,8.87,44.68728,-124.156658
2021-07-30T03:45:42.000,6.61,56.99,8.85,44.68728,-124.156658
2021-07-30T04:00:42.000,6.58,56.69,8.83,44.68728,-124.156658
2021-07-30T04:15:42.000,6.53,56.28,8.83,44.68728,-124.156658
2021-07-30T04:30:42.000,6.52,56.13,8.82,44.68728,-124.156658
2021-07-30T04:45:42.000,6.63,57.11,8.85,44.68728,-124.156658
2021-07-30T05:00:42.000,6.69,57.7,8.86,44.68728,-124.156658
2021-07-30T05:15:42.000,6.75,58.15,8.85,44.68728,-124.156658
2021-07-30T05:30:42.000,6.76,58.23,8.85,44.68728,-124.156658
2021-07-30T05:45:42.000,6.59,56.77,8.83,44.68728,-124.156658
2021-07-30T06:00:42.000,6.52,56.14,8.82,44.68728,-124.156658
2021-07-30T06:15:42.000,6.52,56.14,8.83,44.68728,-124.156658
2021-07-30T06:30:42.000,6.63,57.13,8.85,44.68728,-124.156658
2021-07-30T06:45:42.000,6.68,57.51,8.83,44.68728,-124.156658
2021-07-30T07:00:42.000,6.58,56.7,8.83,44.68728,-124.156658
2021-07-30T07:15:42.000,6.59,56.76,8.83,44.68728,-124.156658
2021-07-30T07:30:42.000,6.51,56.07,8.81,44.68728,-124.156658
2021-07-30T07:45:42.000,6.25,53.8,8.8,44.68728,-124.156658
2021-07-30T08:00:42.000,6.37,54.85,8.8,44.68728,-124.156658
2021-07-30T08:15:42.000,6.39,55.04,8.81,44.68728,-124.156658
2021-07-30T08:30:42.000,6.41,55.16,8.81,44.68728,-124.156658
2021-07-30T08:45:42.000,6.57,56.59,8.81,44.68728,-124.156658
2021-07-30T09:00:42.000,6.44,55.42,8.81,44.68728,-124.156658
2021-07-30T09:15:42.000,6.44,55.44,8.8,44.68728,-124.156658
2021-07-30T09:30:42.000,6.36,54.75,8.78,44.68728,-124.156658
2021-07-30T09:45:42.000,6.38,54.94,8.78,44.68728,-124.156658
2021-07-30T10:00:42.000,6.29,54.11,8.78,44.68728,-124.156658
2021-07-30T10:15:42.000,6.22,53.51,8.74,44.68728,-124.156658
2021-07-30T10:30:42.000,6.08,52.3,8.73,44.68728,-124.156658
2021-07-30T10:45:42.000,6.01,51.67,8.73,44.68728,-124.156658
2021-07-30T11:00:42.000,5.89,50.58,8.71,44.68728,-124.156658
2021-07-30T11:15:42.000,5.96,51.24,8.73,44.68728,-124.156658
2021-07-30T11:30:42.000,6.01,51.62,8.73,44.68728,-124.156658
2021-07-30T11:45:42.000,6.05,51.98,8.73,44.68728,-124.156658
2021-07-30T12:00:42.000,6.02,51.72,8.73,44.68728,-124.156658
2021-07-30T12:15:42.000,5.89,50.59,8.71,44.68728,-124.156658
2021-07-30T12:30:42.000,5.55,47.66,8.68,44.68728,-124.156658
2021-07-30T12:45:42.000,5.08,43.55,8.62,44.68728,-124.156658
2021-07-30T13:00:42.000,5.23,44.82,8.63,44.68728,-124.156658
