Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2022-06-15T15:13:49.000,3.48,29.24,7.85,42.02214,-124.362709
2022-06-15T15:28:49.000,3.48,29.27,7.85,42.02214,-124.362709
2022-06-15T15:43:49.000,3.49,29.36,7.84,42.02214,-124.362709
2022-06-15T15:58:49.000,3.47,29.17,7.85,42.02214,-124.362709
2022-06-15T16:13:49.000,3.47,29.17,7.85,42.02214,-124.362709
2022-06-15T16:28:49.000,3.47,29.16,7.85,42.02214,-124.362709
2022-06-15T16:43:49.000,3.47,29.17,7.85,42.02214,-124.362709
2022-06-15T16:58:49.000,3.47,29.19,7.85,42.02214,-124.362709
2022-06-15T17:13:49.000,3.48,29.26,7.85,42.02214,-124.362709
2022-06-15T17:28:49.000,3.48,29.31,7.85,42.02214,-124.362709
2022-06-15T17:43:49.000,3.49,29.4,7.85,42.02214,-124.362709
2022-06-15T17:58:49.000,3.5,29.45,7.86,42.02214,-124.362709
2022-06-15T18:13:49.000,3.51,29.51,7.87,42.02214,-124.362709
2022-06-15T18:28:49.000,3.51,29.57,7.87,42.02214,-124.362709
2022-06-15T18:43:49.000,3.52,29.67,7.87,42.02214,-124.362709
2022-06-15T18:58:49.000,3.53,29.74,7.88,42.02214,-124.362709
2022-06-15T19:13:49.000,3.54,29.85,7.9,42.02214,-124.362709
2022-06-15T19:28:49.000,3.56,29.96,7.9,42.02214,-124.362709
2022-06-15T19:43:49.000,3.56,30.02,7.9,42.02214,-124.362709
2022-06-15T19:58:49.000,3.58,30.13,7.92,42.02214,-124.362709
2022-06-15T20:13:49.000,3.58,30.16,7.92,42.02214,-124.362709
2022-06-15T20:28:49.000,3.59,30.25,7.94,42.02214,-124.362709
2022-06-15T20:43:49.000,3.6,30.33,7.95,42.02214,-124.362709
2022-06-15T20:58:49.000,3.61,30.41,7.96,42.02214,-124.362709
2022-06-15T21:13:49.000,3.61,30.48,7.97,42.02214,-124.362709
2022-06-15T21:28:49.000,3.62,30.58,7.97,42.02214,-124.362709
2022-06-15T21:43:49.000,3.63,30.65,7.97,42.02214,-124.362709
2022-06-15T21:58:49.000,3.65,30.81,7.99,42.02214,-124.362709
2022-06-15T22:13:49.000,3.67,30.99,7.99,42.02214,-124.362709
2022-06-15T22:28:49.000,3.7,31.23,8.01,42.02214,-124.362709
2022-06-15T22:43:49.000,3.71,31.31,8.02,42.02214,-124.362709
2022-06-15T22:58:49.000,3.7,31.28,8.02,42.02214,-124.362709
2022-06-15T23:13:49.000,3.71,31.31,8.02,42.02214,-124.362709
2022-06-15T23:28:49.000,3.7,31.27,8.01,42.02214,-124.362709
2022-06-15T23:43:49.000,3.69,31.2,8,42.02214,-124.362709
2022-06-15T23:58:49.000,3.69,31.18,7.99,42.02214,-124.362709
2022-06-16T00:13:49.000,3.66,30.94,7.99,42.02214,-124.362709
2022-06-16T00:28:49.000,3.65,30.77,7.97,42.02214,-124.362709
2022-06-16T00:43:49.000,3.62,30.54,7.97,42.02214,-124.362709
2022-06-16T00:58:49.000,3.62,30.52,7.96,42.02214,-124.362709
2022-06-16T01:13:49.000,3.61,30.44,7.95,42.02214,-124.362709
2022-06-16T01:28:49.000,3.55,29.93,7.95,42.02214,-124.362709
2022-06-16T01:43:49.000,3.54,29.87,7.95,42.02214,-124.362709
2022-06-16T01:58:49.000,3.56,30.02,7.96,42.02214,-124.362709
2022-06-16T02:13:49.000,3.59,30.31,7.96,42.02214,-124.362709
2022-06-16T02:28:49.000,3.56,30.03,7.96,42.02214,-124.362709
2022-06-16T02:43:49.000,3.54,29.86,7.96,42.02214,-124.362709
2022-06-16T02:58:49.000,3.57,30.13,7.96,42.02214,-124.362709
2022-06-16T03:13:49.000,3.54,29.88,7.97,42.02214,-124.362709
2022-06-16T03:28:49.000,3.58,30.2,7.97,42.02214,-124.362709
2022-06-16T03:43:49.000,3.59,30.31,7.96,42.02214,-124.362709
2022-06-16T03:58:49.000,3.59,30.31,7.96,42.02214,-124.362709
2022-06-16T04:13:49.000,3.58,30.19,7.97,42.02214,-124.362709
2022-06-16T04:28:49.000,3.59,30.32,7.97,42.02214,-124.362709
2022-06-16T04:43:49.000,3.6,30.36,7.97,42.02214,-124.362709
2022-06-16T04:58:49.000,3.59,30.27,7.97,42.02214,-124.362709
2022-06-16T05:13:49.000,3.6,30.38,7.97,42.02214,-124.362709
2022-06-16T05:28:49.000,3.58,30.24,7.97,42.02214,-124.362709
2022-06-16T05:43:49.000,3.6,30.36,7.97,42.02214,-124.362709
2022-06-16T05:58:49.000,3.61,30.44,7.97,42.02214,-124.362709
2022-06-16T06:13:49.000,3.6,30.42,7.97,42.02214,-124.362709
2022-06-16T06:28:49.000,3.61,30.47,7.97,42.02214,-124.362709
2022-06-16T06:43:49.000,3.63,30.61,7.97,42.02214,-124.362709
2022-06-16T06:58:49.000,3.64,30.76,7.99,42.02214,-124.362709
2022-06-16T07:13:49.000,3.66,30.93,7.99,42.02214,-124.362709
2022-06-16T07:28:49.000,3.69,31.13,7.99,42.02214,-124.362709
2022-06-16T07:43:49.000,3.7,31.27,8.02,42.02214,-124.362709
2022-06-16T07:58:49.000,3.72,31.4,8.02,42.02214,-124.362709
2022-06-16T08:13:49.000,3.74,31.57,8.02,42.02214,-124.362709
2022-06-16T08:28:49.000,3.74,31.62,8.03,42.02214,-124.362709
2022-06-16T08:43:49.000,3.74,31.65,8.04,42.02214,-124.362709
2022-06-16T08:58:49.000,3.74,31.65,8.04,42.02214,-124.362709
2022-06-16T09:13:49.000,3.76,31.76,8.04,42.02214,-124.362709
2022-06-16T09:28:49.000,3.76,31.8,8.04,42.02214,-124.362709
2022-06-16T09:43:49.000,3.77,31.83,8.04,42.02214,-124.362709
2022-06-16T09:58:49.000,3.77,31.85,8.04,42.02214,-124.362709
2022-06-16T10:13:49.000,3.77,31.89,8.05,42.02214,-124.362709
2022-06-16T10:28:49.000,3.78,31.94,8.05,42.02214,-124.362709
2022-06-16T10:43:49.000,3.77,31.89,8.05,42.02214,-124.362709
2022-06-16T10:58:49.000,3.77,31.86,8.05,42.02214,-124.362709
2022-06-16T11:13:49.000,3.75,31.67,8.06,42.02214,-124.362709
2022-06-16T11:28:49.000,3.77,31.86,8.06,42.02214,-124.362709
2022-06-16T11:43:49.000,3.77,31.86,8.06,42.02214,-124.362709
2022-06-16T11:58:49.000,3.76,31.77,8.06,42.02214,-124.362709
2022-06-16T12:13:49.000,3.76,31.75,8.06,42.02214,-124.362709
2022-06-16T12:28:49.000,3.76,31.83,8.06,42.02214,-124.362709
2022-06-16T12:43:49.000,3.76,31.8,8.05,42.02214,-124.362709
2022-06-16T12:58:49.000,3.76,31.81,8.05,42.02214,-124.362709
2022-06-16T13:13:49.000,3.77,31.85,8.05,42.02214,-124.362709
2022-06-16T13:28:49.000,3.76,31.81,8.04,42.02214,-124.362709
2022-06-16T13:43:49.000,3.76,31.79,8.04,42.02214,-124.362709
2022-06-16T13:58:49.000,3.76,31.78,8.04,42.02214,-124.362709
2022-06-16T14:13:49.000,3.75,31.66,8.04,42.02214,-124.362709
2022-06-16T14:28:49.000,3.76,31.78,8.04,42.02214,-124.362709
2022-06-16T14:43:49.000,3.75,31.72,8.04,42.02214,-124.362709
2022-06-16T14:58:49.000,3.75,31.68,8.04,42.02214,-124.362709
2022-06-16T15:13:49.000,3.75,31.71,8.04,42.02214,-124.362709
2022-06-16T15:28:49.000,3.74,31.61,8.04,42.02214,-124.362709
2022-06-16T15:43:49.000,3.74,31.62,8.04,42.02214,-124.362709
2022-06-16T15:58:49.000,3.75,31.68,8.04,42.02214,-124.362709
2022-06-16T16:13:49.000,3.74,31.62,8.04,42.02214,-124.362709
