Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2020-06-04T20:31:24.000,7.39,64.8,9.54,NaN,NaN
2020-06-04T20:46:24.000,7.24,63.36,9.47,NaN,NaN
2020-06-04T21:01:24.000,7.06,61.67,9.41,NaN,NaN
2020-06-04T21:16:24.000,7,61.14,9.38,NaN,NaN
2020-06-04T21:31:24.000,6.96,60.78,9.37,NaN,NaN
2020-06-04T21:46:24.000,6.9,60.19,9.35,NaN,NaN
2020-06-04T22:01:24.000,6.84,59.65,9.33,NaN,NaN
2020-06-04T22:16:24.000,6.76,58.92,9.31,NaN,NaN
2020-06-04T22:31:24.000,6.63,57.74,9.26,NaN,NaN
2020-06-04T22:46:24.000,6.61,57.5,9.23,NaN,NaN
2020-06-04T23:01:24.000,6.57,57.11,9.21,NaN,NaN
2020-06-04T23:16:24.000,6.51,56.56,9.18,NaN,NaN
2020-06-04T23:31:24.000,6.51,56.58,9.18,NaN,NaN
2020-06-04T23:46:24.000,6.57,57.11,9.18,NaN,NaN
2020-06-05T00:01:24.000,6.6,57.34,9.21,NaN,NaN
2020-06-05T00:16:24.000,6.64,57.75,9.23,NaN,NaN
2020-06-05T00:31:24.000,6.7,58.31,9.25,NaN,NaN
2020-06-05T00:46:24.000,6.75,58.74,9.28,NaN,NaN
2020-06-05T01:01:24.000,6.73,58.64,9.28,NaN,NaN
2020-06-05T01:16:24.000,6.73,58.63,9.28,NaN,NaN
2020-06-05T01:31:24.000,6.69,58.23,9.26,NaN,NaN
2020-06-05T01:46:24.000,6.66,58.01,9.26,NaN,NaN
2020-06-05T02:01:24.000,6.69,58.2,9.26,NaN,NaN
2020-06-05T02:16:24.000,6.66,58,9.26,NaN,NaN
2020-06-05T02:31:24.000,6.65,57.92,9.26,NaN,NaN
2020-06-05T02:46:24.000,6.65,57.91,9.26,NaN,NaN
2020-06-05T03:01:24.000,6.66,57.96,9.27,NaN,NaN
2020-06-05T03:16:24.000,6.66,58.02,9.28,NaN,NaN
2020-06-05T03:31:24.000,6.7,58.35,9.28,NaN,NaN
2020-06-05T03:46:24.000,6.71,58.49,9.29,NaN,NaN
2020-06-05T04:01:24.000,6.81,59.34,9.3,NaN,NaN
2020-06-05T04:16:24.000,6.83,59.51,9.33,NaN,NaN
2020-06-05T04:31:24.000,6.87,59.94,9.34,NaN,NaN
2020-06-05T04:46:24.000,6.95,60.63,9.35,NaN,NaN
2020-06-05T05:01:24.000,7,61.14,9.37,NaN,NaN
2020-06-05T05:16:24.000,7.07,61.71,9.39,NaN,NaN
2020-06-05T05:31:24.000,7.21,62.97,9.42,NaN,NaN
2020-06-05T05:46:24.000,7.21,63,9.43,NaN,NaN
2020-06-05T06:01:24.000,7.28,63.7,9.46,NaN,NaN
2020-06-05T06:16:24.000,7.36,64.37,9.48,NaN,NaN
2020-06-05T06:31:24.000,7.32,64.1,9.49,NaN,NaN
2020-06-05T06:46:24.000,7.31,63.98,9.49,NaN,NaN
2020-06-05T07:01:24.000,7.3,63.89,9.49,NaN,NaN
2020-06-05T07:16:24.000,7.29,63.77,9.48,NaN,NaN
2020-06-05T07:31:24.000,7.25,63.41,9.47,NaN,NaN
2020-06-05T07:46:24.000,7.21,63.04,9.47,NaN,NaN
2020-06-05T08:01:24.000,7.17,62.75,9.46,NaN,NaN
2020-06-05T08:16:24.000,7.15,62.51,9.44,NaN,NaN
2020-06-05T08:31:24.000,7.04,61.41,9.37,NaN,NaN
2020-06-05T08:46:24.000,6.92,60.35,9.33,NaN,NaN
2020-06-05T09:01:24.000,6.8,59.19,9.28,NaN,NaN
2020-06-05T09:16:24.000,6.66,57.89,9.21,NaN,NaN
2020-06-05T09:31:24.000,6.52,56.68,9.18,NaN,NaN
2020-06-05T09:46:24.000,6.39,55.41,9.12,NaN,NaN
2020-06-05T10:01:24.000,6.33,54.88,9.1,NaN,NaN
2020-06-05T10:16:24.000,6.27,54.33,9.08,NaN,NaN
2020-06-05T10:31:24.000,6.23,53.96,9.07,NaN,NaN
2020-06-05T10:46:24.000,6.12,52.98,9.03,NaN,NaN
2020-06-05T11:01:24.000,6.06,52.44,9.02,NaN,NaN
2020-06-05T11:16:24.000,6.02,52.03,9,NaN,NaN
2020-06-05T11:31:24.000,5.98,51.69,8.99,NaN,NaN
2020-06-05T11:46:24.000,5.94,51.37,8.97,NaN,NaN
2020-06-05T12:01:24.000,5.92,51.17,8.97,NaN,NaN
2020-06-05T12:16:24.000,5.91,51.05,8.97,NaN,NaN
2020-06-05T12:31:24.000,5.84,50.42,8.95,NaN,NaN
2020-06-05T12:46:24.000,5.81,50.2,8.95,NaN,NaN
2020-06-05T13:01:24.000,5.78,49.96,8.93,NaN,NaN
2020-06-05T13:16:24.000,5.78,49.87,8.93,NaN,NaN
2020-06-05T13:31:24.000,5.72,49.37,8.92,NaN,NaN
2020-06-05T13:46:24.000,5.7,49.21,8.91,NaN,NaN
2020-06-05T14:01:24.000,5.67,48.97,8.9,NaN,NaN
2020-06-05T14:16:24.000,5.64,48.67,8.9,NaN,NaN
2020-06-05T14:31:24.000,5.65,48.77,8.9,NaN,NaN
2020-06-05T14:46:24.000,5.6,48.34,8.89,NaN,NaN
2020-06-05T15:01:24.000,5.54,47.79,8.86,NaN,NaN
2020-06-05T15:16:24.000,5.47,47.13,8.84,NaN,NaN
2020-06-05T15:31:24.000,5.38,46.35,8.83,NaN,NaN
2020-06-05T15:46:24.000,5.31,45.7,8.81,NaN,NaN
2020-06-05T16:01:24.000,5.25,45.23,8.8,NaN,NaN
2020-06-05T16:16:24.000,5.2,44.77,8.78,NaN,NaN
2020-06-05T16:31:24.000,5.14,44.2,8.77,NaN,NaN
2020-06-05T16:46:24.000,5.06,43.52,8.76,NaN,NaN
2020-06-05T17:01:24.000,4.99,42.89,8.74,NaN,NaN
2020-06-05T17:16:24.000,4.09,35.19,8.73,NaN,NaN
2020-06-05T17:31:24.000,4.97,42.74,8.73,NaN,NaN
2020-06-05T17:46:24.000,4.99,42.92,8.74,NaN,NaN
2020-06-05T18:01:24.000,4.96,42.62,8.74,NaN,NaN
2020-06-05T18:16:24.000,4.98,42.84,8.75,NaN,NaN
2020-06-05T18:31:24.000,4.98,42.82,8.76,NaN,NaN
2020-06-05T18:46:24.000,5.11,43.99,8.78,NaN,NaN
2020-06-05T19:01:24.000,5.16,44.41,8.79,NaN,NaN
2020-06-05T19:16:24.000,5.18,44.56,8.8,NaN,NaN
2020-06-05T19:31:24.000,5.21,44.83,8.81,NaN,NaN
2020-06-05T19:46:24.000,5.25,45.23,8.81,NaN,NaN
2020-06-05T20:01:24.000,5.34,46.02,8.83,NaN,NaN
2020-06-05T20:16:24.000,5.36,46.16,8.83,NaN,NaN
2020-06-05T20:31:24.000,5.39,46.48,8.85,NaN,NaN
2020-06-05T20:46:24.000,5.45,46.96,8.85,NaN,NaN
2020-06-05T21:01:24.000,5.46,47.11,8.86,NaN,NaN
2020-06-05T21:16:24.000,5.48,47.28,8.87,NaN,NaN
2020-06-05T21:31:24.000,5.45,47.04,8.87,NaN,NaN
2020-06-05T21:46:24.000,5.43,46.82,8.88,NaN,NaN
2020-06-05T22:01:24.000,5.42,46.75,8.87,NaN,NaN
2020-06-05T22:16:24.000,5.4,46.6,8.86,NaN,NaN
2020-06-05T22:31:24.000,5.39,46.44,8.86,NaN,NaN
2020-06-05T22:46:24.000,5.37,46.27,8.85,NaN,NaN
2020-06-05T23:01:24.000,5.34,45.99,8.85,NaN,NaN
2020-06-05T23:16:24.000,5.28,45.5,8.84,NaN,NaN
2020-06-05T23:31:24.000,5.21,44.88,8.82,NaN,NaN
2020-06-05T23:46:24.000,5.17,44.49,8.81,NaN,NaN
2020-06-06T00:01:24.000,5.14,44.3,8.81,NaN,NaN
2020-06-06T00:16:24.000,5.16,44.47,8.81,NaN,NaN
2020-06-06T00:31:24.000,5.16,44.42,8.81,NaN,NaN
2020-06-06T00:46:24.000,5.26,45.31,8.82,NaN,NaN
2020-06-06T01:01:24.000,5.18,44.64,8.81,NaN,NaN
2020-06-06T01:16:24.000,5.18,44.59,8.83,NaN,NaN
2020-06-06T01:31:24.000,5.16,44.46,8.83,NaN,NaN
2020-06-06T01:46:24.000,5.15,44.41,8.83,NaN,NaN
2020-06-06T02:01:24.000,5.16,44.41,8.83,NaN,NaN
2020-06-06T02:16:24.000,5.18,44.62,8.83,NaN,NaN
2020-06-06T02:31:24.000,5.21,44.87,8.83,NaN,NaN
2020-06-06T02:46:24.000,5.23,45.04,8.83,NaN,NaN
2020-06-06T03:01:24.000,5.24,45.13,8.83,NaN,NaN
2020-06-06T03:16:24.000,5.21,44.86,8.83,NaN,NaN
2020-06-06T03:31:24.000,5.23,45.06,8.83,NaN,NaN
2020-06-06T03:46:24.000,5.23,45.06,8.83,NaN,NaN
2020-06-06T04:01:24.000,5.25,45.2,8.83,NaN,NaN
2020-06-06T04:16:24.000,5.25,45.24,8.83,NaN,NaN
2020-06-06T04:31:24.000,5.26,45.31,8.83,NaN,NaN
2020-06-06T04:46:24.000,5.29,45.54,8.83,NaN,NaN
2020-06-06T05:01:24.000,5.3,45.65,8.83,NaN,NaN
2020-06-06T05:16:24.000,5.34,46.03,8.83,NaN,NaN
2020-06-06T05:31:24.000,5.35,46.13,8.83,NaN,NaN
2020-06-06T05:46:24.000,5.38,46.37,8.83,NaN,NaN
2020-06-06T06:01:24.000,5.41,46.63,8.83,NaN,NaN
2020-06-06T06:16:24.000,5.43,46.76,8.84,NaN,NaN
2020-06-06T06:31:24.000,5.47,47.19,8.85,NaN,NaN
2020-06-06T06:46:24.000,5.48,47.22,8.85,NaN,NaN
2020-06-06T07:01:24.000,5.62,48.46,8.88,NaN,NaN
2020-06-06T07:16:24.000,5.72,49.35,8.92,NaN,NaN
2020-06-06T07:31:24.000,5.96,51.49,8.97,NaN,NaN
2020-06-06T07:46:24.000,6.14,53.17,9.02,NaN,NaN
2020-06-06T08:01:24.000,6.18,53.47,9.04,NaN,NaN
2020-06-06T08:16:24.000,6.2,53.71,9.04,NaN,NaN
2020-06-06T08:31:24.000,6.18,53.54,9.06,NaN,NaN
2020-06-06T08:46:24.000,6.21,53.84,9.07,NaN,NaN
2020-06-06T09:01:24.000,6.26,54.22,9.08,NaN,NaN
2020-06-06T09:16:24.000,6.31,54.72,9.09,NaN,NaN
2020-06-06T09:31:24.000,6.27,54.38,9.1,NaN,NaN
2020-06-06T09:46:24.000,6.28,54.45,9.1,NaN,NaN
2020-06-06T10:01:24.000,6.31,54.74,9.11,NaN,NaN
2020-06-06T10:16:24.000,6.33,54.94,9.12,NaN,NaN
2020-06-06T10:31:24.000,6.37,55.31,9.14,NaN,NaN
2020-06-06T10:46:24.000,6.42,55.69,9.14,NaN,NaN
2020-06-06T11:01:24.000,6.43,55.85,9.16,NaN,NaN
2020-06-06T11:16:24.000,6.41,55.67,9.16,NaN,NaN
2020-06-06T11:31:24.000,6.45,56,9.16,NaN,NaN
2020-06-06T11:46:24.000,6.44,55.9,9.16,NaN,NaN
2020-06-06T12:01:24.000,6.42,55.74,9.17,NaN,NaN
2020-06-06T12:16:24.000,6.46,56.1,9.17,NaN,NaN
2020-06-06T12:31:24.000,6.41,55.68,9.17,NaN,NaN
2020-06-06T12:46:24.000,6.37,55.3,9.17,NaN,NaN
2020-06-06T13:01:24.000,6.38,55.46,9.18,NaN,NaN
2020-06-06T13:16:24.000,6.37,55.35,9.18,NaN,NaN
2020-06-06T13:31:24.000,6.38,55.47,9.18,NaN,NaN
2020-06-06T13:46:24.000,6.42,55.75,9.18,NaN,NaN
2020-06-06T14:01:24.000,6.42,55.81,9.19,NaN,NaN
2020-06-06T14:16:24.000,6.43,55.87,9.2,NaN,NaN
2020-06-06T14:31:24.000,6.51,56.56,9.21,NaN,NaN
2020-06-06T14:46:24.000,6.43,55.87,9.21,NaN,NaN
2020-06-06T15:01:24.000,6.39,55.56,9.21,NaN,NaN
2020-06-06T15:16:24.000,6.41,55.75,9.21,NaN,NaN
