Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2020-06-26T21:54:59.000,1.91,16.14,8,44.679893,-124.104705
2020-06-26T22:09:59.000,1.95,16.46,8.02,44.679893,-124.104705
2020-06-26T22:24:59.000,1.96,16.53,8.02,44.679893,-124.104705
2020-06-26T22:39:59.000,1.95,16.44,8.02,44.679893,-124.104705
2020-06-26T22:54:59.000,1.99,16.85,8.04,44.679893,-124.104705
2020-06-26T23:09:59.000,1.98,16.71,8.02,44.679893,-124.104705
2020-06-26T23:24:59.000,2.06,17.36,7.99,44.679893,-124.104705
2020-06-26T23:39:59.000,2.08,17.56,7.98,44.679893,-124.104705
2020-06-26T23:54:59.000,2.06,17.39,7.99,44.679893,-124.104705
2020-06-27T00:09:59.000,2.07,17.48,7.99,44.679893,-124.104705
2020-06-27T00:24:59.000,2.11,17.77,7.98,44.679893,-124.104705
2020-06-27T00:39:59.000,2.14,18.04,7.97,44.679893,-124.104705
2020-06-27T00:54:59.000,2.12,17.86,7.96,44.679893,-124.104705
2020-06-27T01:09:59.000,2.11,17.82,7.95,44.679893,-124.104705
2020-06-27T01:24:59.000,2.11,17.83,7.95,44.679893,-124.104705
2020-06-27T01:39:59.000,2.12,17.87,7.97,44.679893,-124.104705
2020-06-27T01:54:59.000,2.09,17.63,7.95,44.679893,-124.104705
2020-06-27T02:09:59.000,2.08,17.57,7.95,44.679893,-124.104705
2020-06-27T02:24:59.000,2.08,17.56,7.95,44.679893,-124.104705
2020-06-27T02:39:59.000,2.07,17.44,7.95,44.679893,-124.104705
2020-06-27T02:54:59.000,2.06,17.39,7.94,44.679893,-124.104705
2020-06-27T03:09:59.000,2.05,17.3,7.94,44.679893,-124.104705
2020-06-27T03:24:59.000,2.05,17.26,7.94,44.679893,-124.104705
2020-06-27T03:39:59.000,2.05,17.29,7.95,44.679893,-124.104705
2020-06-27T03:54:59.000,2.06,17.4,7.97,44.679893,-124.104705
2020-06-27T04:09:59.000,2.08,17.54,7.99,44.679893,-124.104705
2020-06-27T04:24:59.000,2.07,17.5,7.99,44.679893,-124.104705
2020-06-27T04:39:59.000,2.1,17.73,8.02,44.679893,-124.104705
2020-06-27T04:54:59.000,2.01,16.91,7.95,44.679893,-124.104705
2020-06-27T05:09:59.000,2,16.84,7.92,44.679893,-124.104705
2020-06-27T05:24:59.000,2.03,17.13,7.95,44.679893,-124.104705
2020-06-27T05:39:59.000,2.06,17.35,7.98,44.679893,-124.104705
2020-06-27T05:54:59.000,2.01,16.94,7.92,44.679893,-124.104705
2020-06-27T06:09:59.000,2,16.84,7.92,44.679893,-124.104705
2020-06-27T06:24:59.000,1.93,16.25,7.87,44.679893,-124.104705
2020-06-27T06:39:59.000,1.93,16.28,7.87,44.679893,-124.104705
2020-06-27T06:54:59.000,1.9,16.02,7.85,44.679893,-124.104705
2020-06-27T07:09:59.000,1.89,15.87,7.85,44.679893,-124.104705
2020-06-27T07:24:59.000,1.87,15.71,7.85,44.679893,-124.104705
2020-06-27T07:39:59.000,1.89,15.93,7.86,44.679893,-124.104705
2020-06-27T07:54:59.000,1.93,16.28,7.88,44.679893,-124.104705
2020-06-27T08:09:59.000,1.91,16.07,7.88,44.679893,-124.104705
2020-06-27T08:24:59.000,1.91,16.11,7.87,44.679893,-124.104705
2020-06-27T08:39:59.000,1.88,15.83,7.87,44.679893,-124.104705
2020-06-27T08:54:59.000,1.87,15.75,7.87,44.679893,-124.104705
2020-06-27T09:09:59.000,1.91,16.07,7.89,44.679893,-124.104705
2020-06-27T09:24:59.000,1.76,14.81,7.83,44.679893,-124.104705
2020-06-27T09:39:59.000,1.82,15.32,7.85,44.679893,-124.104705
2020-06-27T09:54:59.000,1.85,15.59,7.87,44.679893,-124.104705
2020-06-27T10:09:59.000,1.85,15.56,7.87,44.679893,-124.104705
2020-06-27T10:24:59.000,1.83,15.41,7.87,44.679893,-124.104705
2020-06-27T10:39:59.000,1.86,15.63,7.87,44.679893,-124.104705
2020-06-27T10:54:59.000,1.83,15.43,7.87,44.679893,-124.104705
2020-06-27T11:09:59.000,1.74,14.6,7.85,44.679893,-124.104705
2020-06-27T11:24:59.000,1.78,14.99,7.85,44.679893,-124.104705
2020-06-27T11:39:59.000,1.79,15.03,7.86,44.679893,-124.104705
2020-06-27T11:54:59.000,1.8,15.17,7.87,44.679893,-124.104705
2020-06-27T12:09:59.000,1.84,15.52,7.88,44.679893,-124.104705
2020-06-27T12:24:59.000,1.82,15.33,7.88,44.679893,-124.104705
2020-06-27T12:39:59.000,1.76,14.79,7.85,44.679893,-124.104705
2020-06-27T12:54:59.000,1.7,14.32,7.83,44.679893,-124.104705
