Time (UTC),DO (ml/L),Temperature (C),Latitude,Longitude,Depth (m)
06-Aug-2020 19:00:00,6.82836343273135,10.25,44.28367,-124.117287,-4.857514
06-Aug-2020 20:00:00,6.95086098278034,10.29,44.28367,-124.117287,-4.857514
06-Aug-2020 21:00:00,6.87736245275094,10.2725,44.28367,-124.117287,-4.857514
06-Aug-2020 22:00:00,6.42062158756825,10.055,44.28367,-124.117287,-4.857514
06-Aug-2020 23:00:00,5.67688646227075,9.6925,44.28367,-124.117287,-4.857514
07-Aug-2020 00:00:00,5.86413271734565,9.82,44.28367,-124.117287,-4.857514
07-Aug-2020 01:00:00,6.22987540249195,9.9975,44.28367,-124.117287,-4.857514
07-Aug-2020 02:00:00,5.86588268234635,9.85,44.28367,-124.117287,-4.857514
07-Aug-2020 03:00:00,5.8510079798404,9.8525,44.28367,-124.117287,-4.857514
07-Aug-2020 04:00:00,6.20887582248355,10.0825,44.28367,-124.117287,-4.857514
07-Aug-2020 05:00:00,6.36287274254515,10.1825,44.28367,-124.117287,-4.857514
07-Aug-2020 06:00:00,6.20362592748145,10.14,44.28367,-124.117287,-4.857514
07-Aug-2020 07:00:00,6.44687106257875,10.0625,44.28367,-124.117287,-4.857514
07-Aug-2020 08:00:00,5.78188436231275,9.72,44.28367,-124.117287,-4.857514
07-Aug-2020 09:00:00,5.31289374212516,9.53,44.28367,-124.117287,-4.857514
07-Aug-2020 10:00:00,5.45989080218396,9.65,44.28367,-124.117287,-4.857514
07-Aug-2020 11:00:00,5.84663306733865,9.9025,44.28367,-124.117287,-4.857514
07-Aug-2020 12:00:00,6.42587148257035,10.1675,44.28367,-124.117287,-4.857514
07-Aug-2020 13:00:00,6.59036819263615,10.28,44.28367,-124.117287,-4.857514
07-Aug-2020 14:00:00,6.67086658266835,10.3575,44.28367,-124.117287,-4.857514
07-Aug-2020 15:00:00,6.69186616267675,10.36,44.28367,-124.117287,-4.857514
07-Aug-2020 16:00:00,6.83361332773345,10.375,44.28367,-124.117287,-4.857514
07-Aug-2020 17:00:00,6.70236595268095,10.185,44.28367,-124.117287,-4.857514
