Time (UTC),DO (ml/L),Temperature (C),Latitude,Longitude,Depth (m)
27-May-2020 00:00:00,5.77255121564235,10.5833333333333,45.836303,-123.98132,-15.4174
27-May-2020 01:00:00,5.86063278734425,10.6425,45.836303,-123.98132,-15.4174
27-May-2020 02:00:00,5.56488870222596,10.415,45.836303,-123.98132,-15.4174
27-May-2020 03:00:00,5.31114377712446,10.1825,45.836303,-123.98132,-15.4174
27-May-2020 04:00:00,5.16152176956461,10.0525,45.836303,-123.98132,-15.4174
27-May-2020 05:00:00,5.37589248215036,10.275,45.836303,-123.98132,-15.4174
27-May-2020 06:00:00,6.06187876242475,10.9725,45.836303,-123.98132,-15.4174
27-May-2020 07:00:00,6.26312473750525,11.27,45.836303,-123.98132,-15.4174
27-May-2020 08:00:00,6.25262494750105,11.28,45.836303,-123.98132,-15.4174
27-May-2020 09:00:00,5.50013999720005,10.43,45.836303,-123.98132,-15.4174
27-May-2020 10:00:00,4.85265294694106,9.76,45.836303,-123.98132,-15.4174
27-May-2020 11:00:00,4.55690886182276,9.4575,45.836303,-123.98132,-15.4174
27-May-2020 12:00:00,4.43616127677446,9.3525,45.836303,-123.98132,-15.4174
27-May-2020 13:00:00,4.33291334173316,9.25,45.836303,-123.98132,-15.4174
27-May-2020 14:00:00,4.30666386672267,9.245,45.836303,-123.98132,-15.4174
27-May-2020 15:00:00,4.26116477670447,9.225,45.836303,-123.98132,-15.4174
27-May-2020 16:00:00,4.17541649167017,9.1625,45.836303,-123.98132,-15.4174
27-May-2020 17:00:00,4.35566288674227,9.345,45.836303,-123.98132,-15.4174
27-May-2020 18:00:00,5.03639927201456,10.0025,45.836303,-123.98132,-15.4174
27-May-2020 19:00:00,5.81863362732745,10.71,45.836303,-123.98132,-15.4174
27-May-2020 20:00:00,5.99713005739885,10.8675,45.836303,-123.98132,-15.4174
27-May-2020 21:00:00,5.03114937701246,9.9,45.836303,-123.98132,-15.4174
27-May-2020 22:00:00,4.94015119697606,9.825,45.836303,-123.98132,-15.4174
27-May-2020 23:00:00,5.00314993700126,9.81,45.836303,-123.98132,-15.4174
28-May-2020 00:00:00,4.71265574688506,9.1775,45.836303,-123.98132,-15.4174
28-May-2020 01:00:00,4.32241355172896,8.9425,45.836303,-123.98132,-15.4174
28-May-2020 02:00:00,4.32066358672826,8.9775,45.836303,-123.98132,-15.4174
28-May-2020 03:00:00,4.39241215175696,9.0275,45.836303,-123.98132,-15.4174
28-May-2020 04:00:00,4.33816323673527,9.03,45.836303,-123.98132,-15.4174
28-May-2020 05:00:00,4.29878902421952,8.99,45.836303,-123.98132,-15.4174
28-May-2020 06:00:00,4.39941201175976,9.0525,45.836303,-123.98132,-15.4174
28-May-2020 07:00:00,5.17114657706846,9.49,45.836303,-123.98132,-15.4174
28-May-2020 08:00:00,5.54038919221616,10.025,45.836303,-123.98132,-15.4174
28-May-2020 09:00:00,4.62690746185076,9.205,45.836303,-123.98132,-15.4174
28-May-2020 10:00:00,4.00216995660087,8.815,45.836303,-123.98132,-15.4174
28-May-2020 11:00:00,3.99167016659667,8.845,45.836303,-123.98132,-15.4174
28-May-2020 12:00:00,4.26291474170517,8.9825,45.836303,-123.98132,-15.4174
28-May-2020 13:00:00,4.61465770684586,9.2025,45.836303,-123.98132,-15.4174
28-May-2020 14:00:00,4.51665966680666,9.15,45.836303,-123.98132,-15.4174
28-May-2020 15:00:00,4.23316533669327,9,45.836303,-123.98132,-15.4174
28-May-2020 16:00:00,4.02316953660927,8.91,45.836303,-123.98132,-15.4174
28-May-2020 17:00:00,4.10366792664147,8.9325,45.836303,-123.98132,-15.4174
28-May-2020 18:00:00,4.19291614167717,8.95,45.836303,-123.98132,-15.4174
28-May-2020 19:00:00,4.19466610667787,8.9575,45.836303,-123.98132,-15.4174
28-May-2020 20:00:00,4.89815203695926,9.5475,45.836303,-123.98132,-15.4174
28-May-2020 21:00:00,5.52463950720986,10.14,45.836303,-123.98132,-15.4174
28-May-2020 22:00:00,5.89038219235615,10.6625,45.836303,-123.98132,-15.4174
28-May-2020 23:00:00,5.81863362732745,10.435,45.836303,-123.98132,-15.4174
29-May-2020 00:00:00,4.44491110177796,9.24,45.836303,-123.98132,-15.4174
29-May-2020 01:00:00,4.13166736665267,9.015,45.836303,-123.98132,-15.4174
29-May-2020 02:00:00,4.11241775164497,9.0275,45.836303,-123.98132,-15.4174
29-May-2020 03:00:00,4.32066358672826,9.08,45.836303,-123.98132,-15.4174
29-May-2020 04:00:00,4.72665546689066,9.2675,45.836303,-123.98132,-15.4174
29-May-2020 05:00:00,5.12564748705026,9.5375,45.836303,-123.98132,-15.4174
29-May-2020 06:00:00,4.85615287694246,9.4,45.836303,-123.98132,-15.4174
29-May-2020 07:00:00,4.65665686686266,9.365,45.836303,-123.98132,-15.4174
29-May-2020 08:00:00,5.88338233235335,10.4275,45.836303,-123.98132,-15.4174
29-May-2020 09:00:00,6.32087358252835,10.92,45.836303,-123.98132,-15.4174
29-May-2020 10:00:00,6.21762564748705,10.92,45.836303,-123.98132,-15.4174
29-May-2020 11:00:00,4.26466470670587,9.155,45.836303,-123.98132,-15.4174
29-May-2020 12:00:00,3.85517289654207,8.9075,45.836303,-123.98132,-15.4174
29-May-2020 13:00:00,3.53142937141257,8.84,45.836303,-123.98132,-15.4174
29-May-2020 14:00:00,2.80869382612348,8.81,45.836303,-123.98132,-15.4174
29-May-2020 15:00:00,2.87256754864903,8.76,45.836303,-123.98132,-15.4174
29-May-2020 16:00:00,3.38968220635587,8.71,45.836303,-123.98132,-15.4174
29-May-2020 17:00:00,3.38793224135517,8.735,45.836303,-123.98132,-15.4174
29-May-2020 18:00:00,1.94246115077698,8.785,45.836303,-123.98132,-15.4174
29-May-2020 19:00:00,3.71867562648747,9.085,45.836303,-123.98132,-15.4174
29-May-2020 20:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
29-May-2020 21:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
29-May-2020 22:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
29-May-2020 23:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 00:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 01:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 02:00:00,2.40620187596248,8.72,45.836303,-123.98132,-15.4174
30-May-2020 03:00:00,2.78594428111438,8.71,45.836303,-123.98132,-15.4174
30-May-2020 04:00:00,2.04570908581828,8.755,45.836303,-123.98132,-15.4174
30-May-2020 05:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 06:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 07:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 08:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 09:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 10:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 11:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 12:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 13:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 14:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 15:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 16:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 17:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 18:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 19:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 20:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 21:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 22:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
30-May-2020 23:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 00:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 01:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 02:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 03:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 04:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 05:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 06:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 07:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 08:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 09:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 10:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 11:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 12:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 13:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 14:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 15:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 16:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 17:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 18:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 19:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 20:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 21:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 22:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
31-May-2020 23:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 00:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 01:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 02:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 03:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 04:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 05:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 06:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 07:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 08:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 09:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 10:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 11:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 12:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 13:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 14:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 15:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 16:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 17:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 18:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 19:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 20:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 21:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 22:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
01-Jun-2020 23:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
02-Jun-2020 00:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
02-Jun-2020 01:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
02-Jun-2020 02:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
02-Jun-2020 03:00:00,NaN,NaN,45.836303,-123.98132,-15.4174
