Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2020-08-06T19:39:23.000,9.76,87.01,10.26,44.28367,-124.117287
2020-08-06T19:54:23.000,9.75,86.87,10.24,44.28367,-124.117287
2020-08-06T20:09:23.000,9.76,86.97,10.25,44.28367,-124.117287
2020-08-06T20:24:23.000,9.95,88.73,10.29,44.28367,-124.117287
2020-08-06T20:39:23.000,10.02,89.44,10.31,44.28367,-124.117287
2020-08-06T20:54:23.000,9.99,89.12,10.31,44.28367,-124.117287
2020-08-06T21:09:23.000,9.93,88.63,10.31,44.28367,-124.117287
2020-08-06T21:24:23.000,9.89,88.2,10.29,44.28367,-124.117287
2020-08-06T21:39:23.000,9.8,87.38,10.27,44.28367,-124.117287
2020-08-06T21:54:23.000,9.68,86.17,10.22,44.28367,-124.117287
2020-08-06T22:09:23.000,9.53,84.75,10.17,44.28367,-124.117287
2020-08-06T22:24:23.000,9.35,83.05,10.1,44.28367,-124.117287
2020-08-06T22:39:23.000,9.21,81.7,10.06,44.28367,-124.117287
2020-08-06T22:54:23.000,8.6,75.98,9.89,44.28367,-124.117287
2020-08-06T23:09:23.000,8.2,72.25,9.75,44.28367,-124.117287
2020-08-06T23:24:23.000,8.09,71.15,9.68,44.28367,-124.117287
2020-08-06T23:39:23.000,8.08,70.97,9.66,44.28367,-124.117287
2020-08-06T23:54:23.000,8.07,70.99,9.68,44.28367,-124.117287
2020-08-07T00:09:23.000,8.1,71.25,9.7,44.28367,-124.117287
2020-08-07T00:24:23.000,8.22,72.42,9.75,44.28367,-124.117287
2020-08-07T00:39:23.000,8.45,74.6,9.87,44.28367,-124.117287
2020-08-07T00:54:23.000,8.74,77.36,9.96,44.28367,-124.117287
2020-08-07T01:09:23.000,9.13,81.03,10.05,44.28367,-124.117287
2020-08-07T01:24:23.000,8.88,78.69,10.01,44.28367,-124.117287
2020-08-07T01:39:23.000,9.02,79.99,10.03,44.28367,-124.117287
2020-08-07T01:54:23.000,8.57,75.75,9.9,44.28367,-124.117287
2020-08-07T02:09:23.000,8.62,76.18,9.9,44.28367,-124.117287
2020-08-07T02:24:23.000,8.49,75,9.88,44.28367,-124.117287
2020-08-07T02:39:23.000,8.15,71.83,9.8,44.28367,-124.117287
2020-08-07T02:54:23.000,8.26,72.88,9.82,44.28367,-124.117287
2020-08-07T03:09:23.000,8.23,72.62,9.82,44.28367,-124.117287
2020-08-07T03:24:23.000,8.28,73.05,9.84,44.28367,-124.117287
2020-08-07T03:39:23.000,8.47,74.89,9.9,44.28367,-124.117287
2020-08-07T03:54:23.000,8.18,72.25,9.85,44.28367,-124.117287
2020-08-07T04:09:23.000,8.44,74.68,9.97,44.28367,-124.117287
2020-08-07T04:24:23.000,8.48,75.1,10.01,44.28367,-124.117287
2020-08-07T04:39:23.000,9.22,82.02,10.17,44.28367,-124.117287
2020-08-07T04:54:23.000,9.34,83.27,10.27,44.28367,-124.117287
2020-08-07T05:09:23.000,9.13,81.28,10.19,44.28367,-124.117287
2020-08-07T05:24:23.000,9.24,82.21,10.17,44.28367,-124.117287
2020-08-07T05:39:23.000,9.4,83.89,10.29,44.28367,-124.117287
2020-08-07T05:54:23.000,8.59,76.26,10.08,44.28367,-124.117287
2020-08-07T06:09:23.000,8.53,75.73,10.08,44.28367,-124.117287
2020-08-07T06:24:23.000,8.75,77.73,10.13,44.28367,-124.117287
2020-08-07T06:39:23.000,8.89,79.07,10.17,44.28367,-124.117287
2020-08-07T06:54:23.000,9.28,82.54,10.18,44.28367,-124.117287
2020-08-07T07:09:23.000,9.44,83.97,10.17,44.28367,-124.117287
2020-08-07T07:24:23.000,9.32,82.72,10.08,44.28367,-124.117287
2020-08-07T07:39:23.000,9.07,80.45,10.03,44.28367,-124.117287
2020-08-07T07:54:23.000,9.01,79.73,9.97,44.28367,-124.117287
2020-08-07T08:09:23.000,9.01,79.76,9.95,44.28367,-124.117287
2020-08-07T08:24:23.000,8.63,76.15,9.83,44.28367,-124.117287
2020-08-07T08:39:23.000,7.78,68.22,9.59,44.28367,-124.117287
2020-08-07T08:54:23.000,7.62,66.76,9.51,44.28367,-124.117287
2020-08-07T09:09:23.000,7.63,66.82,9.52,44.28367,-124.117287
2020-08-07T09:24:23.000,7.6,66.59,9.52,44.28367,-124.117287
2020-08-07T09:39:23.000,7.58,66.41,9.54,44.28367,-124.117287
2020-08-07T09:54:23.000,7.55,66.17,9.54,44.28367,-124.117287
2020-08-07T10:09:23.000,7.64,67.01,9.58,44.28367,-124.117287
2020-08-07T10:24:23.000,7.69,67.52,9.61,44.28367,-124.117287
2020-08-07T10:39:23.000,7.84,68.9,9.66,44.28367,-124.117287
2020-08-07T10:54:23.000,8.03,70.76,9.75,44.28367,-124.117287
2020-08-07T11:09:23.000,8.16,72,9.82,44.28367,-124.117287
2020-08-07T11:24:23.000,8.24,72.71,9.85,44.28367,-124.117287
2020-08-07T11:39:23.000,8.38,74.14,9.93,44.28367,-124.117287
2020-08-07T11:54:23.000,8.63,76.49,10.01,44.28367,-124.117287
2020-08-07T12:09:23.000,8.89,78.92,10.08,44.28367,-124.117287
2020-08-07T12:24:23.000,9.15,81.33,10.15,44.28367,-124.117287
2020-08-07T12:39:23.000,9.29,82.71,10.2,44.28367,-124.117287
2020-08-07T12:54:23.000,9.39,83.68,10.24,44.28367,-124.117287
2020-08-07T13:09:23.000,9.37,83.52,10.25,44.28367,-124.117287
2020-08-07T13:24:23.000,9.38,83.66,10.27,44.28367,-124.117287
2020-08-07T13:39:23.000,9.45,84.31,10.29,44.28367,-124.117287
2020-08-07T13:54:23.000,9.46,84.44,10.31,44.28367,-124.117287
2020-08-07T14:09:23.000,9.53,85.15,10.36,44.28367,-124.117287
2020-08-07T14:24:23.000,9.53,85.2,10.37,44.28367,-124.117287
2020-08-07T14:39:23.000,9.56,85.44,10.36,44.28367,-124.117287
2020-08-07T14:54:23.000,9.5,84.86,10.34,44.28367,-124.117287
2020-08-07T15:09:23.000,9.59,85.7,10.36,44.28367,-124.117287
2020-08-07T15:24:23.000,9.61,85.88,10.38,44.28367,-124.117287
2020-08-07T15:39:23.000,9.53,85.1,10.36,44.28367,-124.117287
2020-08-07T15:54:23.000,9.51,84.99,10.36,44.28367,-124.117287
2020-08-07T16:09:23.000,9.54,85.25,10.36,44.28367,-124.117287
2020-08-07T16:24:23.000,9.66,86.31,10.38,44.28367,-124.117287
2020-08-07T16:39:23.000,9.91,88.57,10.38,44.28367,-124.117287
2020-08-07T16:54:23.000,9.94,88.84,10.38,44.28367,-124.117287
2020-08-07T17:09:23.000,9.85,87.95,10.31,44.28367,-124.117287
2020-08-07T17:24:23.000,9.67,86.12,10.22,44.28367,-124.117287
2020-08-07T17:39:23.000,9.42,83.74,10.13,44.28367,-124.117287
2020-08-07T17:54:23.000,9.36,83.07,10.08,44.28367,-124.117287
2020-08-07T18:09:23.000,9.29,82.42,10.07,44.28367,-124.117287
2020-08-07T18:24:23.000,9.09,80.55,10.01,44.28367,-124.117287
2020-08-07T18:39:23.000,8.93,79,9.95,44.28367,-124.117287
2020-08-07T18:54:23.000,8.82,77.95,9.92,44.28367,-124.117287
2020-08-07T19:09:23.000,8.73,77.14,9.87,44.28367,-124.117287
2020-08-07T19:24:23.000,8.68,76.68,9.87,44.28367,-124.117287
2020-08-07T19:39:23.000,8.73,77.17,9.89,44.28367,-124.117287
2020-08-07T19:54:23.000,8.77,77.53,9.89,44.28367,-124.117287
2020-08-07T20:09:23.000,9,79.69,9.96,44.28367,-124.117287
2020-08-07T20:24:23.000,9.03,79.95,9.97,44.28367,-124.117287
2020-08-07T20:39:23.000,9.18,81.32,10.01,44.28367,-124.117287
2020-08-07T20:54:23.000,9.11,80.72,10,44.28367,-124.117287
2020-08-07T21:09:23.000,9.28,82.32,10.06,44.28367,-124.117287
2020-08-07T21:24:23.000,9.51,84.55,10.15,44.28367,-124.117287
2020-08-07T21:39:23.000,10.03,89.64,10.39,44.28367,-124.117287
2020-08-07T21:54:23.000,10.31,92.59,10.57,44.28367,-124.117287
2020-08-07T22:09:23.000,10.43,93.76,10.62,44.28367,-124.117287
2020-08-07T22:24:23.000,10.49,94.43,10.68,44.28367,-124.117287
2020-08-07T22:39:23.000,10.7,96.53,10.76,44.28367,-124.117287
2020-08-07T22:54:23.000,10.51,94.65,10.69,44.28367,-124.117287
2020-08-07T23:09:23.000,10.38,93.34,10.64,44.28367,-124.117287
2020-08-07T23:24:23.000,10.47,94.24,10.67,44.28367,-124.117287
