Time (UTC),DO (ml/L),Dissolved Oxygen (%),Temperature (C),Latitude,Longitude
2020-05-27T22:15:38.000,10.85,16.42,12.24,46.030197,-123.95966
2020-05-27T22:30:38.000,10.9,16.46,12.25,46.030197,-123.95966
2020-05-27T22:45:38.000,10.94,16.4,12.26,46.030197,-123.95966
2020-05-27T23:00:38.000,11,16.46,12.25,46.030197,-123.95966
2020-05-27T23:15:38.000,11.04,16.4,12.24,46.030197,-123.95966
2020-05-27T23:30:38.000,11.04,16.49,12.23,46.030197,-123.95966
2020-05-27T23:45:38.000,11.12,16.47,12.21,46.030197,-123.95966
2020-05-28T00:00:38.000,11.16,16.4,12.21,46.030197,-123.95966
2020-05-28T00:15:38.000,11.18,16.42,12.21,46.030197,-123.95966
2020-05-28T00:30:38.000,11.2,16.43,12.21,46.030197,-123.95966
2020-05-28T00:45:38.000,11.14,16.49,12.22,46.030197,-123.95966
2020-05-28T01:00:38.000,11.09,16.43,12.22,46.030197,-123.95966
2020-05-28T01:15:38.000,11.06,16.41,12.21,46.030197,-123.95966
2020-05-28T01:30:38.000,11.01,16.46,12.2,46.030197,-123.95966
2020-05-28T01:45:38.000,10.98,16.43,12.19,46.030197,-123.95966
2020-05-28T02:00:38.000,10.92,16.47,12.17,46.030197,-123.95966
2020-05-28T02:15:38.000,10.91,16.46,12.17,46.030197,-123.95966
2020-05-28T02:30:38.000,10.91,16.45,12.15,46.030197,-123.95966
2020-05-28T02:45:38.000,10.89,16.43,12.12,46.030197,-123.95966
2020-05-28T03:00:38.000,10.95,16.48,12.1,46.030197,-123.95966
2020-05-28T03:15:38.000,10.94,16.47,12.09,46.030197,-123.95966
2020-05-28T03:30:38.000,10.94,16.47,12.08,46.030197,-123.95966
2020-05-28T03:45:38.000,10.96,16.47,12.05,46.030197,-123.95966
2020-05-28T04:00:38.000,10.93,16.44,12.03,46.030197,-123.95966
2020-05-28T04:15:38.000,10.92,16.44,12.03,46.030197,-123.95966
2020-05-28T04:30:38.000,10.92,16.44,12.03,46.030197,-123.95966
2020-05-28T04:45:38.000,10.88,16.49,11.98,46.030197,-123.95966
2020-05-28T05:00:38.000,10.85,16.45,11.94,46.030197,-123.95966
2020-05-28T05:15:38.000,10.8,99.88,11.85,46.030197,-123.95966
2020-05-28T05:30:38.000,10.77,99.48,11.8,46.030197,-123.95966
2020-05-28T05:45:38.000,10.71,98.79,11.75,46.030197,-123.95966
2020-05-28T06:00:38.000,10.69,98.51,11.7,46.030197,-123.95966
2020-05-28T06:15:38.000,10.62,97.81,11.66,46.030197,-123.95966
2020-05-28T06:30:38.000,10.62,97.69,11.64,46.030197,-123.95966
2020-05-28T06:45:38.000,10.64,97.77,11.58,46.030197,-123.95966
2020-05-28T07:00:38.000,10.6,97.33,11.55,46.030197,-123.95966
2020-05-28T07:15:38.000,10.56,96.94,11.52,46.030197,-123.95966
2020-05-28T07:30:38.000,10.54,96.78,11.52,46.030197,-123.95966
2020-05-28T07:45:38.000,10.55,96.87,11.54,46.030197,-123.95966
2020-05-28T08:00:38.000,10.55,96.91,11.54,46.030197,-123.95966
2020-05-28T08:15:38.000,10.53,96.67,11.54,46.030197,-123.95966
2020-05-28T08:30:38.000,10.52,96.61,11.54,46.030197,-123.95966
2020-05-28T08:45:38.000,10.49,96.26,11.52,46.030197,-123.95966
2020-05-28T09:00:38.000,10.46,95.93,11.5,46.030197,-123.95966
2020-05-28T09:15:38.000,10.46,95.91,11.48,46.030197,-123.95966
2020-05-28T09:30:38.000,10.45,95.82,11.48,46.030197,-123.95966
2020-05-28T09:45:38.000,10.42,95.51,11.47,46.030197,-123.95966
2020-05-28T10:00:38.000,10.41,95.44,11.45,46.030197,-123.95966
2020-05-28T10:15:38.000,10.42,95.48,11.45,46.030197,-123.95966
2020-05-28T10:30:38.000,10.41,95.36,11.44,46.030197,-123.95966
2020-05-28T10:45:38.000,10.4,95.25,11.43,46.030197,-123.95966
2020-05-28T11:00:38.000,10.42,95.36,11.41,46.030197,-123.95966
2020-05-28T11:15:38.000,10.36,94.82,11.38,46.030197,-123.95966
2020-05-28T11:30:38.000,10.34,94.53,11.36,46.030197,-123.95966
2020-05-28T11:45:38.000,10.33,94.33,11.29,46.030197,-123.95966
2020-05-28T12:00:38.000,10.3,94,11.27,46.030197,-123.95966
2020-05-28T12:15:38.000,10.28,93.68,11.21,46.030197,-123.95966
2020-05-28T12:30:38.000,10.27,93.56,11.19,46.030197,-123.95966
2020-05-28T12:45:38.000,10.25,93.32,11.17,46.030197,-123.95966
2020-05-28T13:00:38.000,10.22,93.05,11.15,46.030197,-123.95966
2020-05-28T13:15:38.000,10.23,93.01,11.13,46.030197,-123.95966
2020-05-28T13:30:38.000,10.16,92.4,11.11,46.030197,-123.95966
2020-05-28T13:45:38.000,10.15,92.15,11.06,46.030197,-123.95966
2020-05-28T14:00:38.000,10.09,91.53,11.03,46.030197,-123.95966
2020-05-28T14:15:38.000,10.09,91.52,11.02,46.030197,-123.95966
2020-05-28T14:30:38.000,10.08,91.43,11.02,46.030197,-123.95966
2020-05-28T14:45:38.000,10.05,91.2,11.02,46.030197,-123.95966
2020-05-28T15:00:38.000,10.07,91.37,11.04,46.030197,-123.95966
2020-05-28T15:15:38.000,10.08,91.57,11.06,46.030197,-123.95966
2020-05-28T15:30:38.000,10.11,91.89,11.09,46.030197,-123.95966
2020-05-28T15:45:38.000,10.16,92.39,11.13,46.030197,-123.95966
2020-05-28T16:00:38.000,10.2,92.87,11.15,46.030197,-123.95966
2020-05-28T16:15:38.000,10.24,93.23,11.18,46.030197,-123.95966
2020-05-28T16:30:38.000,10.21,92.98,11.2,46.030197,-123.95966
2020-05-28T16:45:38.000,10.23,93.21,11.19,46.030197,-123.95966
2020-05-28T17:00:38.000,10.19,92.83,11.18,46.030197,-123.95966
2020-05-28T17:15:38.000,10.22,93.04,11.17,46.030197,-123.95966
2020-05-28T17:30:38.000,10.26,93.42,11.16,46.030197,-123.95966
2020-05-28T17:45:38.000,10.31,93.88,11.17,46.030197,-123.95966
2020-05-28T18:00:38.000,10.43,95.01,11.2,46.030197,-123.95966
2020-05-28T18:15:38.000,10.57,96.38,11.25,46.030197,-123.95966
2020-05-28T18:30:38.000,10.65,97.15,11.27,46.030197,-123.95966
2020-05-28T18:45:38.000,10.76,98.29,11.31,46.030197,-123.95966
2020-05-28T19:00:38.000,10.9,99.66,11.35,46.030197,-123.95966
2020-05-28T19:15:38.000,11.02,16.49,11.41,46.030197,-123.95966
2020-05-28T19:30:38.000,11.06,16.43,11.47,46.030197,-123.95966
2020-05-28T19:45:38.000,11.15,16.44,11.54,46.030197,-123.95966
2020-05-28T20:00:38.000,11.19,16.49,11.61,46.030197,-123.95966
2020-05-28T20:15:38.000,11.21,16.42,11.66,46.030197,-123.95966
2020-05-28T20:30:38.000,11.22,16.44,11.71,46.030197,-123.95966
2020-05-28T20:45:38.000,11.23,16.46,11.75,46.030197,-123.95966
2020-05-28T21:00:38.000,11.2,16.44,11.78,46.030197,-123.95966
2020-05-28T21:15:38.000,11.28,16.42,11.8,46.030197,-123.95966
2020-05-28T21:30:38.000,11.33,16.46,11.8,46.030197,-123.95966
2020-05-28T21:45:38.000,11.33,16.47,11.84,46.030197,-123.95966
2020-05-28T22:00:38.000,11.35,16.4,11.89,46.030197,-123.95966
2020-05-28T22:15:38.000,11.34,16.41,11.96,46.030197,-123.95966
2020-05-28T22:30:38.000,11.31,16.4,12.02,46.030197,-123.95966
2020-05-28T22:45:38.000,11.31,16.41,12.07,46.030197,-123.95966
2020-05-28T23:00:38.000,11.27,16.48,12.12,46.030197,-123.95966
2020-05-28T23:15:38.000,11.25,16.48,12.19,46.030197,-123.95966
2020-05-28T23:30:38.000,11.16,16.41,12.22,46.030197,-123.95966
2020-05-28T23:45:38.000,11.18,16.44,12.28,46.030197,-123.95966
2020-05-29T00:00:38.000,11.25,16.41,12.33,46.030197,-123.95966
2020-05-29T00:15:38.000,11.22,16.49,12.35,46.030197,-123.95966
2020-05-29T00:30:38.000,11.18,16.45,12.35,46.030197,-123.95966
2020-05-29T00:45:38.000,11.04,16.42,12.35,46.030197,-123.95966
2020-05-29T01:00:38.000,10.96,16.45,12.33,46.030197,-123.95966
2020-05-29T01:15:38.000,11.25,16.46,12.12,46.030197,-123.95966
2020-05-29T01:30:38.000,11.43,16.42,11.66,46.030197,-123.95966
2020-05-29T01:45:38.000,11.2,16.42,11.31,46.030197,-123.95966
2020-05-29T02:00:38.000,10.66,96.81,11.06,46.030197,-123.95966
2020-05-29T02:15:38.000,10.44,94.53,10.94,46.030197,-123.95966
2020-05-29T02:30:38.000,10.15,91.64,10.8,46.030197,-123.95966
2020-05-29T02:45:38.000,9.87,88.91,10.69,46.030197,-123.95966
2020-05-29T03:00:38.000,9.91,89.11,10.62,46.030197,-123.95966
2020-05-29T03:15:38.000,9.73,87.41,10.58,46.030197,-123.95966
2020-05-29T03:30:38.000,9.55,85.69,10.54,46.030197,-123.95966
2020-05-29T03:45:38.000,9.5,85.07,10.48,46.030197,-123.95966
2020-05-29T04:00:38.000,9.24,82.6,10.4,46.030197,-123.95966
2020-05-29T04:15:38.000,9.04,80.7,10.31,46.030197,-123.95966
2020-05-29T04:30:38.000,8.68,77.48,10.3,46.030197,-123.95966
2020-05-29T04:45:38.000,8.51,75.87,10.29,46.030197,-123.95966
2020-05-29T05:00:38.000,8.54,76.19,10.29,46.030197,-123.95966
2020-05-29T05:15:38.000,8.66,77.19,10.27,46.030197,-123.95966
2020-05-29T05:30:38.000,8.87,79.09,10.27,46.030197,-123.95966
2020-05-29T05:45:38.000,8.93,79.61,10.27,46.030197,-123.95966
2020-05-29T06:00:38.000,2.53,22.58,10.26,46.030197,-123.95966
2020-05-29T06:15:38.000,7.43,66.24,10.24,46.030197,-123.95966
2020-05-29T06:30:38.000,8.41,74.89,10.22,46.030197,-123.95966
2020-05-29T06:45:38.000,7.7,68.55,10.2,46.030197,-123.95966
2020-05-29T07:00:38.000,8.21,73.02,10.18,46.030197,-123.95966
2020-05-29T07:15:38.000,8.35,74.29,10.17,46.030197,-123.95966
2020-05-29T07:30:38.000,8.18,72.74,10.14,46.030197,-123.95966
2020-05-29T07:45:38.000,7.72,68.63,10.13,46.030197,-123.95966
2020-05-29T08:00:38.000,7.6,67.54,10.13,46.030197,-123.95966
2020-05-29T08:15:38.000,7.59,67.4,10.1,46.030197,-123.95966
2020-05-29T08:30:38.000,7.79,69.19,10.1,46.030197,-123.95966
2020-05-29T08:45:38.000,7.69,68.24,10.08,46.030197,-123.95966
2020-05-29T09:00:38.000,7.63,67.66,10.06,46.030197,-123.95966
2020-05-29T09:15:38.000,8.41,74.61,10.03,46.030197,-123.95966
2020-05-29T09:30:38.000,8.43,74.72,10.03,46.030197,-123.95966
2020-05-29T09:45:38.000,8.29,73.54,10.03,46.030197,-123.95966
2020-05-29T10:00:38.000,8.14,72.17,10.03,46.030197,-123.95966
2020-05-29T10:15:38.000,8.37,74.22,10.03,46.030197,-123.95966
2020-05-29T10:30:38.000,8.34,73.91,10.03,46.030197,-123.95966
2020-05-29T10:45:38.000,8.42,74.66,10.03,46.030197,-123.95966
2020-05-29T11:00:38.000,8.43,74.75,10.05,46.030197,-123.95966
2020-05-29T11:15:38.000,8.4,74.55,10.06,46.030197,-123.95966
2020-05-29T11:30:38.000,8.48,75.23,10.08,46.030197,-123.95966
2020-05-29T11:45:38.000,8.55,75.97,10.12,46.030197,-123.95966
2020-05-29T12:00:38.000,8.54,75.88,10.15,46.030197,-123.95966
2020-05-29T12:15:38.000,8.64,76.84,10.18,46.030197,-123.95966
2020-05-29T12:30:38.000,8.72,77.72,10.24,46.030197,-123.95966
2020-05-29T12:45:38.000,8.66,77.22,10.29,46.030197,-123.95966
2020-05-29T13:00:38.000,8.84,78.93,10.34,46.030197,-123.95966
2020-05-29T13:15:38.000,8.93,79.89,10.4,46.030197,-123.95966
2020-05-29T13:30:38.000,9.03,80.91,10.48,46.030197,-123.95966
2020-05-29T13:45:38.000,9,80.62,10.49,46.030197,-123.95966
2020-05-29T14:00:38.000,8.71,77.63,10.27,46.030197,-123.95966
2020-05-29T14:15:38.000,8.52,75.72,10.15,46.030197,-123.95966
2020-05-29T14:30:38.000,8.34,73.99,10.08,46.030197,-123.95966
2020-05-29T14:45:38.000,8.28,73.39,10.03,46.030197,-123.95966
2020-05-29T15:00:38.000,8.11,71.9,10.01,46.030197,-123.95966
2020-05-29T15:15:38.000,8.27,73.22,9.99,46.030197,-123.95966
2020-05-29T15:30:38.000,8.22,72.79,9.96,46.030197,-123.95966
2020-05-29T15:45:38.000,8.21,72.65,9.95,46.030197,-123.95966
2020-05-29T16:00:38.000,8.08,71.47,9.94,46.030197,-123.95966
2020-05-29T16:15:38.000,8.2,72.57,9.94,46.030197,-123.95966
2020-05-29T16:30:38.000,8.18,72.36,9.94,46.030197,-123.95966
2020-05-29T16:45:38.000,8.18,72.33,9.92,46.030197,-123.95966
2020-05-29T17:00:38.000,8.16,72.14,9.91,46.030197,-123.95966
2020-05-29T17:15:38.000,8.15,72.07,9.91,46.030197,-123.95966
2020-05-29T17:30:38.000,8.18,72.27,9.89,46.030197,-123.95966
2020-05-29T17:45:38.000,8.11,71.72,9.91,46.030197,-123.95966
2020-05-29T18:00:38.000,8.13,71.86,9.89,46.030197,-123.95966
2020-05-29T18:15:38.000,8.13,71.86,9.89,46.030197,-123.95966
2020-05-29T18:30:38.000,8.1,71.57,9.89,46.030197,-123.95966
2020-05-29T18:45:38.000,8.08,71.43,9.89,46.030197,-123.95966
2020-05-29T19:00:38.000,8.07,71.29,9.89,46.030197,-123.95966
2020-05-29T19:15:38.000,8.07,71.27,9.88,46.030197,-123.95966
2020-05-29T19:30:38.000,8.03,70.9,9.87,46.030197,-123.95966
2020-05-29T19:45:38.000,8.1,71.57,9.87,46.030197,-123.95966
2020-05-29T20:00:38.000,8.11,71.62,9.87,46.030197,-123.95966
2020-05-29T20:15:38.000,8.17,72.18,9.87,46.030197,-123.95966
2020-05-29T20:30:38.000,8.24,72.77,9.87,46.030197,-123.95966
2020-05-29T20:45:38.000,8.25,72.93,9.89,46.030197,-123.95966
2020-05-29T21:00:38.000,8.36,73.91,9.91,46.030197,-123.95966
2020-05-29T21:15:38.000,8.41,74.37,9.93,46.030197,-123.95966
2020-05-29T21:30:38.000,8.53,75.5,9.95,46.030197,-123.95966
2020-05-29T21:45:38.000,8.6,76.21,9.99,46.030197,-123.95966
2020-05-29T22:00:38.000,8.76,77.71,10.06,46.030197,-123.95966
2020-05-29T22:15:38.000,8.94,79.54,10.19,46.030197,-123.95966
2020-05-29T22:30:38.000,9.04,80.66,10.31,46.030197,-123.95966
2020-05-29T22:45:38.000,9.16,82.08,10.49,46.030197,-123.95966
2020-05-29T23:00:38.000,9.46,84.91,10.56,46.030197,-123.95966
2020-05-29T23:15:38.000,9.7,87.22,10.62,46.030197,-123.95966
2020-05-29T23:30:38.000,9.9,89.14,10.69,46.030197,-123.95966
2020-05-29T23:45:38.000,9.94,89.56,10.73,46.030197,-123.95966
2020-05-30T00:00:38.000,9.45,84.66,10.49,46.030197,-123.95966
2020-05-30T00:15:38.000,9.02,80.46,10.29,46.030197,-123.95966
2020-05-30T00:30:38.000,8.86,78.87,10.22,46.030197,-123.95966
2020-05-30T00:45:38.000,8.86,78.85,10.18,46.030197,-123.95966
2020-05-30T01:00:38.000,8.8,78.29,10.18,46.030197,-123.95966
2020-05-30T01:15:38.000,8.82,78.46,10.2,46.030197,-123.95966
2020-05-30T01:30:38.000,8.85,78.83,10.22,46.030197,-123.95966
2020-05-30T01:45:38.000,8.81,78.55,10.27,46.030197,-123.95966
2020-05-30T02:00:38.000,8.95,79.92,10.33,46.030197,-123.95966
2020-05-30T02:15:38.000,8.95,79.86,10.31,46.030197,-123.95966
2020-05-30T02:30:38.000,8.79,78.29,10.22,46.030197,-123.95966
